currencyId,openingValue,closingValue,highestValue,lowestValue,adjClose,volumeStocks,userIdentity,userFollowers,userFriends,userVerified,userCreditRating,certifiedAuthorityTrusted,tokenTrusted
c7217430,9493863.427300902,8375410.191702194,1154261.6808825291,4288372.061662413,9695309.980584946,367857,17947c8a-19b1-4f6c-9f9c-55da877dbe88,98219,8162,true,0.16570772724097527,false,true
d15dcade,1889486.9160668526,8190604.626899258,6132846.749907315,7987346.273660083,467100.32509159617,465059,01e8c6bc-6f6c-4ebd-8f76-66c233d40977,75637,8184,false,0.8787447771445089,false,false
4a25b262,2364744.830792509,5007884.693732121,2455782.492551166,4214188.754199826,2562839.237955965,860033,56c2f38b-6847-406b-887c-142e76f4698f,21482,9966,false,0.2519991211874678,false,false
d50467c2,6619379.424808961,5609199.986369067,1882749.4416144285,9557797.33192013,8095052.554689911,669708,d35ef270-21ed-47a2-9827-5dc7dffdcf8d,55134,2121,false,0.20640684956047273,true,false
2d9b6d4c,3834152.6848145323,4939559.051460196,7012975.062237879,4192314.7748305933,6807952.395180954,644470,e69c800a-45e5-4efd-8e87-013274517c28,21887,6285,true,0.07331970336953064,false,true
bd6fd795,1946558.4323648112,5666675.393376882,8220623.159288135,7561188.242393729,6901673.002130585,555635,272194fd-af48-44be-9e3e-a2c14e2138dd,22435,6839,true,0.8333410626362492,true,false
252a3e65,7793083.97379188,3289262.4913474154,455948.19144251343,127029.59374622957,514436.1159334343,60055,c9d94ab1-fb54-425c-9d9a-173ed718582a,61452,5815,false,0.33244265747846846,false,true
61db754b,787060.0123812122,7955720.128586771,9780535.598594481,5893590.179114021,9896354.082085812,763697,c0395dff-53ae-4530-9ea0-a7e35ab99e8e,45477,3684,true,0.888644783858709,true,true
70de7bef,8015144.490816613,4974001.85949715,3938604.3425501836,8345632.035107946,973542.5853424851,392972,fa035ac5-6bb2-4a50-b263-93f392354bb1,5493,1167,false,0.8863028062398306,false,true
0a88493a,2161871.405319461,4181450.5661846413,1353532.7894329708,6119245.136343833,1019808.1902497913,769465,2ff7942e-4ab2-4a33-acd6-2c0e798daa93,93451,7559,false,0.3957879226729729,false,true
f826e4ef,5792839.784350784,8732809.69811788,8835796.264758443,4872092.130599543,2559151.8434564387,396634,2546741a-96cf-4e19-a14c-1a88ecc4b6b2,30239,2769,true,0.9091238091658862,true,false
c159a009,8217089.356475204,1036671.9558757842,418597.6900484101,5113772.501783053,4673482.762054791,397755,2c1fd39f-d6d3-4caa-8df7-fba8693cbdf7,59474,6130,true,0.14526230249412797,true,false
6eda2e2d,9342812.496393425,8586765.794457154,7946887.316380011,2540323.5652841805,8225438.314604798,783351,9d3359e1-1660-4e88-8e6d-e3fc8eb72acf,13531,4704,false,0.06327483868552508,false,false
18c81bcc,1109346.0016063561,4563851.815382651,8180761.005018729,3978712.733962242,3994067.336643892,999300,b37641c5-ad12-48fe-a831-e947857b7ee4,43753,8551,true,0.8850600765753701,false,false
00132c38,1507948.7568289475,7315598.10192912,4625212.7296383595,2037598.0001332338,3002700.2890917896,420557,18438411-bab0-44b0-8afa-d44ea3d6b060,23293,1221,false,0.15371286314993948,false,true
ffed8b28,3751343.2044846197,7024432.06936068,2476259.353999659,5200288.672546748,9898544.834870333,523887,f74df7d8-ad0f-4100-83a8-0126dded48ad,40307,7534,true,0.48539664598192056,false,true
