currencyId,openingValue,closingValue,highestValue,lowestValue,adjClose,volumeStocks,userIdentity,userFollowers,userFriends,userVerified,userCreditRating,certifiedAuthorityTrusted,tokenTrusted
3fa83c64,3617318.3493492045,353909.0795354449,9636900.605498957,2808084.7682010937,698682.2561832495,749121,89f4e479-815a-4b09-bf0e-0b86d4a1a7be,13589,4819,false,0.21992494194253775,false,false
1e22c32a,2844566.639656817,9244892.678684024,2754025.395808054,637444.2953325565,2314181.7450931123,962442,fdc6e722-9db9-4dac-9244-1fe328405950,35626,9060,false,0.40450188593572656,false,true
ee3df2b9,5197612.434926241,5479624.894026064,3727110.4654332,8982657.469543189,8875263.362095771,748343,d5c159b7-9fb8-45b2-a6e4-23005bfacd18,84624,4524,true,0.3046486381681589,true,true
1ad8c6e6,3744840.187942332,2440229.712924773,1527831.6321706576,650005.3472424694,6299118.492092425,546198,36f99ea7-845e-44ad-bcfd-82ceddb2e4d4,1265,3980,true,0.6410564732793615,true,false
ea0d01ce,4061288.989900732,714809.6685716398,7616664.229947575,2954315.4814686445,172944.0323811382,966623,4ffcbf9f-609a-4da9-b2cb-f6e3f0ffa916,17580,2279,false,0.7179180612028485,false,false
1c061e8c,8493823.42336393,5390805.139047616,5360061.192137808,4603517.063484224,3087644.95194031,125919,78be7cf8-bcef-4596-9dd2-6028898542ad,70731,1397,true,0.2904831335021252,false,true
d5788db2,4544597.055089763,5591380.366209067,7322644.2043094495,4338060.193005944,3984066.7138576726,906967,6d3c8126-8ed3-46c4-a379-c573ea362766,86468,2105,false,0.08993690050906666,true,false
54e09fc5,9776118.820142314,7433332.360369361,1410373.5145049135,8591863.495526593,2097867.837261803,77531,f67adb6b-eb41-4f0b-94cb-9b7a0b51a416,76592,110,true,0.6829748967564706,false,false
3d4b53ce,6512563.22548262,838514.1092736726,1632752.344131252,4745766.934657494,7123950.469692189,421337,ed4b8f33-fa7c-45c8-a917-80fc5b145ed0,81476,6331,true,0.879363682706594,true,true
f69e6761,3729620.1749578286,2533376.155385496,8883961.66781667,631553.3146224795,9636102.944580603,927877,6435f00b-640d-4674-84d7-a19e990c4559,29383,2726,false,0.3332452248293143,false,true
019b3ca4,4626019.501634808,3715087.0632204693,4031393.6291099885,5563479.960408166,1280188.2533506702,223371,6fb68aab-cd53-4f4b-ac65-0499707c04a9,4279,9527,true,0.48312240933270445,false,true
be6fd9f4,7088432.819253434,9809376.796059042,1118424.6291896726,2117140.2924580807,5966974.974621442,843317,f01779d8-a1cd-4bb2-8f25-d4d4791a00a2,73702,6437,true,0.005825635333459367,false,true
b28a058f,7447898.1812356645,6680431.296752042,6886027.2222820595,8724632.68688229,6452786.289100855,703198,0f81a84c-a2b4-451b-9dc7-aa1ea7b4e06a,16563,583,true,0.3463254337639996,true,true
9a9e2446,833622.1245855347,8596796.791553097,1155121.8672274344,930901.1824875091,4342820.255611258,620683,f1a8adc0-fd40-4480-9366-38f1fdb6d180,74865,3167,false,0.29826074503949074,false,true
fac732db,638071.3442380647,1992679.0853810029,3784158.6421704832,2358386.977779542,4374884.198468217,651822,bf4c30c5-4248-46db-8711-97aaee503bda,13781,5268,true,0.23762927228929687,true,true
4d1a6ffe,1385636.545845078,1353952.531926127,2540174.109737615,2118940.0958324946,8283996.366807616,154695,bafe8ab4-ec93-4c35-97e3-2bfb06acdc0e,42200,614,false,0.8216926245437651,false,true
a52bf242,8897396.759880107,3911071.7532209596,2062588.1449830085,4854020.187676549,7125952.439817456,692347,2bb8da67-c228-41a6-9778-93b149b4b902,69488,8308,true,0.03581341892151113,false,false
614c7185,7756373.006256377,8715221.452697461,7503044.487583462,3901638.700877238,9528567.79833885,599881,c4244640-91b9-4b90-bea8-32fd8f02658e,8341,8874,false,0.009578256712817312,true,true
403fe36f,718737.0025921214,2634091.38411851,7201317.796043654,3671040.3889623955,2799256.6764203887,646155,a5660a37-4707-46b7-ba40-a8f6b4792e14,83145,4955,false,0.4599086811827906,false,true
f519c388,9321223.13329724,9928087.23768515,3495995.7261156384,9743617.62899835,5887643.1304621,638261,bb62fd4a-273c-48e6-9992-563c5e13c7c5,11474,8325,true,0.20480992316455082,false,true
d8bfe83a,8443125.485620793,5354709.981141009,1937537.1902083294,5264874.969551681,7681361.955084841,617939,78c05289-7221-4d59-a07e-00c74e325835,77864,2988,false,0.21175051082248242,true,true
c2f6a677,6396657.115816844,6981362.986986711,3393420.1098578786,7282481.9492933005,5273699.787134962,938025,be7b5d68-89ba-472e-8e8a-7e2bc0d3029b,41311,7131,false,0.07756582651970734,true,false
fd6a47d1,5353299.628313343,275377.6647099138,2503777.1196815474,1832707.0607025498,991495.1823059126,93986,fef62df6-a933-4f50-8382-b79c1238ffd7,25148,3604,true,0.4834630421537227,false,true
871bc38f,4407687.26880298,785220.142973937,39034.51712756856,8715488.832783611,4894695.232892224,519280,efd6d980-1b71-45d9-8e88-4a7eafbd2d2d,708,4749,false,0.303190599378663,true,true
58147d3f,8864922.811567707,4804668.570285327,4655709.327318397,1772572.6742678238,1771497.7227661954,925791,7ab6e32d-e550-46e7-94ef-5bf2102e88aa,34144,8290,false,0.913289711668102,true,true
ffaf3984,2586736.8525868817,4245983.821077762,7410459.80607157,4077026.729012838,5563525.5418268405,962598,8dbb0002-231c-41b6-91ee-06ad98580c31,73372,6545,false,0.3017997590079803,true,true
